Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
escargots-de-bourgogne,Escargots de Bourgogne,"<p>Six Burgundy snails baked in garlic-parsley butter and served in their shells.</p>",Maison Étoile,Appetizer,"Entrée, Classic",true,Title,Default,,,22.00,false,true,https://images.unsplash.com/photo-1511690656952-34342bb7c2f2?q=80&w=1000&auto=format&fit=crop,Escargots,active
tartare-de-bœuf-au-couteau,Tartare de Bœuf au Couteau,"<p>Hand-cut beef tartare, traditional condiments, and a slow-cooked egg yolk.</p>",Maison Étoile,Appetizer,"Entrée",true,Title,Default,,,26.00,false,true,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?q=80&w=1000&auto=format&fit=crop,Beef Tartare,active
filet-mignon-aux-herbes,Filet Mignon aux Herbes,"<p>Grass-fed beef tenderloin, herb butter crust, and roasted fingerling potatoes.</p>",Maison Étoile,Main Course,"Plat",true,Title,Default,,,58.00,false,true,https://images.unsplash.com/photo-1546241072-48010ad28c2c?q=80&w=1000&auto=format&fit=crop,Filet Mignon,active
bouillabaisse-marseillaise,Bouillabaisse Marseillaise,"<p>Traditional Provencal fish stew with saffron, rouille, and croutons.</p>",Maison Étoile,Main Course,"Plat, Seafood",true,Title,Default,,,65.00,false,true,https://images.unsplash.com/photo-1534080564607-c984d738c00b?q=80&w=1000&auto=format&fit=crop,Bouillabaisse,active
tarte-tatin-maison,Tarte Tatin Maison,"<p>Caramelized apple tart served upside down with Isigny crème fraîche.</p>",Maison Étoile,Dessert,"Dessert, Classic",true,Title,Default,,,14.00,false,true,https://images.unsplash.com/photo-1519915028121-7d3463d20b13?q=80&w=1000&auto=format&fit=crop,Tarte Tatin,active
profiteroles-au-chocolat,Profiteroles au Chocolat,"<p>Cream puffs filled with vanilla gelato and drizzled with hot dark chocolate sauce.</p>",Maison Étoile,Dessert,"Dessert",true,Title,Default,,,15.00,false,true,https://images.unsplash.com/photo-1551024506-0bccd828d307?q=80&w=1000&auto=format&fit=crop,Profiteroles,active
assortiment-de-fromages,Assortiment de Fromages,"<p>Selection of five artisanal French cheeses with walnut bread and honeycomb.</p>",Maison Étoile,Dessert,"Dessert, Cheese",true,Title,Default,,,24.00,false,true,https://images.unsplash.com/photo-1452195100486-9cc805987862?q=80&w=1000&auto=format&fit=crop,Cheese Board,active
negroni-vieux-carré,Negroni Vieux Carré,"<p>A sophisticated blend of cognac, rye whiskey, sweet vermouth, and bitters.</p>",Maison Étoile,Cocktail,"Bar",true,Title,Default,,,19.00,false,true,https://images.unsplash.com/photo-1541301684499-198f2430095f?q=80&w=1000&auto=format&fit=crop,Negroni,active
puligny-montrachet-2018,Puligny-Montrachet 2018,"<p>An exquisite white Burgundy with notes of white flowers, flint, and toasted hazelnut.</p>",Maison Étoile,Wine,"Cave, White",true,Title,Default,,,220.00,false,true,https://images.unsplash.com/photo-1553361371-9bb220263959?q=80&w=1000&auto=format&fit=crop,Puligny Montrachet,active
coquilles-saint-jacques,Coquilles Saint-Jacques,"<p>Pan-seared Hokkaido scallops with cauliflower purée and chorizo crumbs.</p>",Maison Étoile,Appetizer,"Entrée, Seafood",true,Title,Default,,,31.00,false,true,https://images.unsplash.com/photo-1599458252282-dc602b557030?q=80&w=1000&auto=format&fit=crop,Scallops,active
carré-d-agneau-en-croûte,Carré d'Agneau en Croûte,"<p>Herb-crusted rack of lamb, pea purée, and mint-infused jus.</p>",Maison Étoile,Main Course,"Plat",true,Title,Default,,,62.00,false,true,https://images.unsplash.com/photo-1603048297172-c92544798d5a?q=80&w=1000&auto=format&fit=crop,Rack of Lamb,active
