Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Image Src,Image Alt Text,Status
mille-feuille-vanille,Mille-Feuille Vanille,"Layered puff pastry, Madagascar vanilla bean cream, and salted caramel.","Maison Étoile",Dessert,"Dessert",true,Title,Default,,,250,shopify,30,deny,manual,15.00,https://images.unsplash.com/photo-1509365465985-25d11c17e812?q=80&w=1000&auto=format&fit=crop,,active
fondant-au-chocolat-noir,Fondant au Chocolat Noir,"Warm dark chocolate cake with a molten center, served with raspberry sorbet.","Maison Étoile",Dessert,"Dessert, Gluten-Free",true,Title,Default,,,200,shopify,40,deny,manual,16.00,https://images.unsplash.com/photo-1541919329513-35f7af297129?q=80&w=1000&auto=format&fit=crop,,active
dom-perignon-vintage,Dom Pérignon Vintage 2012,"A symbol of luxury, this vintage champagne offers exceptional complexity and balance.","Maison Étoile",Wine,"Cave, Champagne",true,Title,Default,,,1500,shopify,12,deny,manual,320.00,https://images.unsplash.com/photo-1510812431401-41d2bd2722f3?q=80&w=1000&auto=format&fit=crop,,active
château-margaux-2015,Château Margaux 2015,"One of the world's most prestigious red wines, celebrated for its elegance and longevity.","Maison Étoile",Wine,"Cave, Red",true,Title,Default,,,1500,shopify,6,deny,manual,850.00,https://images.unsplash.com/photo-1506377247377-2a5b3b417ebb?q=80&w=1000&auto=format&fit=crop,,active
martini-aux-truffes,Martini aux Truffes,"Premium vodka, dry vermouth, and a drop of white truffle oil, garnished with a truffle slice.","Maison Étoile",Cocktail,"Bar, Signature",true,Title,Default,,,200,shopify,100,deny,manual,22.00,https://images.unsplash.com/photo-1514362545857-3bc16c4c7d1b?q=80&w=1000&auto=format&fit=crop,,active
escargots-de-bourgogne,Escargots de Bourgogne,"Six Burgundy snails baked in garlic-parsley butter and served in their shells.","Maison Étoile",Appetizer,"Entrée, Classic",true,Title,Default,,,250,shopify,40,deny,manual,22.00,https://images.unsplash.com/photo-1511690656952-34342bb7c2f2?q=80&w=1000&auto=format&fit=crop,,active
tartare-de-bœuf-au-couteau,Tartare de Bœuf au Couteau,"Hand-cut beef tartare, traditional condiments, and a slow-cooked egg yolk.","Maison Étoile",Appetizer,"Entrée",true,Title,Default,,,300,shopify,30,deny,manual,2600,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?q=80&w=1000&auto=format&fit=crop,,active
filet-mignon-aux-herbes,Filet Mignon aux Herbes,"Grass-fed beef tenderloin, herb butter crust, and roasted fingerling potatoes.","Maison Étoile",Main Course,"Plat",true,Title,Default,,,450,shopify,20,deny,manual,58.00,https://images.unsplash.com/photo-1546241072-48010ad28c2c?q=80&w=1000&auto=format&fit=crop,,active
bouillabaisse-marseillaise,Bouillabaisse Marseillaise,"Traditional Provencal fish stew with saffron, rouille, and croutons.","Maison Étoile",Main Course,"Plat, Seafood",true,Title,Default,,,700,shopify,15,deny,manual,65.00,https://images.unsplash.com/photo-1534080564607-c984d738c00b?q=80&w=1000&auto=format&fit=crop,,active
tarte-tatin-maison,Tarte Tatin Maison,"Caramelized apple tart served upside down with Isigny crème fraîche.","Maison Étoile",Dessert,"Dessert, Classic",true,Title,Default,,,300,shopify,20,deny,manual,14.00,https://images.unsplash.com/photo-1519915028121-7d3463d20b13?q=80&w=1000&auto=format&fit=crop,,active
profiteroles-au-chocolat,Profiteroles au Chocolat,"Cream puffs filled with vanilla gelato and drizzled with hot dark chocolate sauce.","Maison Étoile",Dessert,"Dessert",true,Title,Default,,,250,shopify,30,deny,manual,15.00,https://images.unsplash.com/photo-1551024506-0bccd828d307?q=80&w=1000&auto=format&fit=crop,,active
assortiment-de-fromages,Assortiment de Fromages,"Selection of five artisanal French cheeses with walnut bread and honeycomb.","Maison Étoile",Dessert,"Dessert, Cheese",true,Title,Default,,,400,shopify,20,deny,manual,24.00,https://images.unsplash.com/photo-1452195100486-9cc805987862?q=80&w=1000&auto=format&fit=crop,,active
negroni-vieux-carré,Negroni Vieux Carré,"A sophisticated blend of cognac, rye whiskey, sweet vermouth, and bitters.","Maison Étoile",Cocktail,"Bar",true,Title,Default,,,200,shopify,100,deny,manual,19.00,https://images.unsplash.com/photo-1541301684499-198f2430095f?q=80&w=1000&auto=format&fit=crop,,active
puligny-montrachet-2018,Puligny-Montrachet 2018,"An exquisite white Burgundy with notes of white flowers, flint, and toasted hazelnut.","Maison Étoile",Wine,"Cave, White",true,Title,Default,,,1500,shopify,10,deny,manual,220.00,https://images.unsplash.com/photo-1553361371-9bb220263959?q=80&w=1000&auto=format&fit=crop,,active
coquilles-saint-jacques,Coquilles Saint-Jacques,"Pan-seared Hokkaido scallops with cauliflower purée and chorizo crumbs.","Maison Étoile",Appetizer,"Entrée, Seafood",true,Title,Default,,,200,shopify,20,deny,manual,31.00,https://images.unsplash.com/photo-1599458252282-dc602b557030?q=80&w=1000&auto=format&fit=crop,,active
carré-d-agneau-en-croûte,Carré d'Agneau en Croûte,"Herb-crusted rack of lamb, pea purée, and mint-infused jus.","Maison Étoile",Main Course,"Plat",true,Title,Default,,,550,shopify,20,deny,manual,62.00,https://images.unsplash.com/photo-1603048297172-c92544798d5a?q=80&w=1000&auto=format&fit=crop,,active
